model	type	series	location	production line	year	quarter	month	actual value	pred1w	pred2w	pred3w	pred4w	pred5w	pred6w
C751LG	C	751	LG	commercial	2014	Q4	11	364	744	744	1375	1596	1453	2125
C751_DOCK	C	751	DOCK	commercial	2014	Q3	7	9	32	168	148		0	600
C751_DOCK	C	751	DOCK	commercial	2014	Q3	8	23	143	143	143	718	700	600
C751_DOCK	C	751	DOCK	commercial	2014	Q3	9	120	120	120	120	120	120	825
C751_DOCK	C	751	DOCK	commercial	2014	Q4	10	0	15	15	0	473	600	600
C751_DOCK	C	751	DOCK	commercial	2014	Q4	11	165	213	0	213	564	450	1071
Y753MA	Y	753	MA	consumer	2014	Q1	1	0	0					
Y753MA	Y	753	MA	consumer	2014	Q1	2	0	0	0	0	0		
Y753MA	Y	753	MA	consumer	2014	Q1	3	0	0	0	0	0	0	0
Y753MA	Y	753	MA	consumer	2014	Q2	4	5	1672	1672	2336	3300	3300	3300
Y753MA	Y	753	MA	consumer	2014	Q2	5	32532	32532	9158	42943	47593	64704	71299
Y753MA	Y	753	MA	consumer	2014	Q2	6	43617	61204	62932	70856	74237	16322	74334
Y753MA	Y	753	MA	consumer	2014	Q3	7	46845	73839	74286	72152	86436	89611	81030
Y753MA	Y	753	MA	consumer	2014	Q3	8	38628	55946	55838	49285	49393	30605	29241
Y753MA	Y	753	MA	consumer	2014	Q3	9	84636	87848	156308	155569	155677	181780	160978
Y753MA	Y	753	MA	consumer	2014	Q4	10	103258	110008	110008	109468	110008	106796	38146
Y753MA	Y	753	MA	consumer	2014	Q4	11	5850	6750	6750	6750	6750		
QU750CA	QU	750	CA	commercial	2014	Q1	3	0	0	0	0	0	0	
QU750CA	QU	750	CA	commercial	2014	Q2	4	14	0	250	250	250	250	250
QU750CA	QU	750	CA	commercial	2014	Q2	5				0	245	495	745
QU750CA	QU	750	CA	commercial	2014	Q2	6	0	224	224	224	250	250	250
QU750CA	QU	750	CA	commercial	2014	Q3	7	336	336	336	336	168	560	336
QU751LA	QU	751	LA	commercial	2014	Q2	5	644	644	896	896	1000	1124	1150
QU751LA	QU	751	LA	commercial	2014	Q2	6	581	1535	1535	1556	1451	2149	2152
QU751LA	QU	751	LA	commercial	2014	Q3	7	4199	7935	7935	10177	10675	11020	10246
QU751LA	QU	751	LA	commercial	2014	Q3	8	4430	6200	6200	6206	6458	3126	2393
QU751LA	QU	751	LA	commercial	2014	Q3	9	3596	3596	5024	5012	5012	7933	6544
QU751LA	QU	751	LA	commercial	2014	Q4	10	4338	5058	5068	5154	6812	6812	5384
QU751LA	QU	751	LA	commercial	2014	Q4	11	1627	3335	3328	3604	3625	2989	3466
QU751LD	QU	751	LD	commercial	2014	Q2	4	0	0	1000				
QU751LD	QU	751	LD	commercial	2014	Q2	5	1000	1000	2600	2600	2600	2600	1600
QU751LD	QU	751	LD	commercial	2014	Q2	6	1600	1600	1600	1600	1600	10	10
QU751LD	QU	751	LD	commercial	2014	Q3	7	308	3562	3562	3629	3629	3629	3629
QU751LD	QU	751	LD	commercial	2014	Q3	8	3486	4602	4602	4731	4705	1566	850
QU751LD	QU	751	LD	commercial	2014	Q3	9	3643	3643	4353	4353	4370	4927	5984
QU751LD	QU	751	LD	commercial	2014	Q4	10	4004	4375	4375	4577	5279	5279	4569
QU751LD	QU	751	LD	commercial	2014	Q4	11	6355	4629	4629	4881	4969	4934	12342
UP750LA	UP	750	LA	consumer	2014	Q2	6	0	3876	3756	3906	6400	7570	7570
UP750LA	UP	750	LA	consumer	2014	Q3	7	4956	6428	6428	7526	19387	12324	8627
UP750LA	UP	750	LA	consumer	2014	Q3	8	5751	8906	13201	11005	12396	8015	8635
UP750LA	UP	750	LA	consumer	2014	Q3	9	12664	12664	23358	23448	23448	26027	20293
UP750LA	UP	750	LA	consumer	2014	Q4	10	16454	18554	18584	19075	20808	20808	10208
UP750LA	UP	750	LA	consumer	2014	Q4	11	5668	7964	7964	8727	9522	8603	9371
UP750LD	UP	750	LD	consumer	2014	Q2	6	0	2080	1704	2536	4127	7213	24932
UP750LD	UP	750	LD	consumer	2014	Q3	7	3044	6849	7209	6485	18258	15808	15298
UP750LD	UP	750	LD	consumer	2014	Q3	8	5175	13681	13681	17111	20047	14499	9132
UP750LD	UP	750	LD	consumer	2014	Q3	9	8087	7735	13295	13295	13311	17650	21388
UP750LD	UP	750	LD	consumer	2014	Q4	10	6898	10576	10576	10874	13170	13508	7528
UP750LD	UP	750	LD	consumer	2014	Q4	11	6042	8644	8644	9225	9817	6477	7787
UP700LA	UP	700	LA	consumer	2014	Q2	4	0						0
UP700LA	UP	700	LA	consumer	2014	Q2	6	2436	4530	4530	5790	5792	7442	7442
UP700LA	UP	700	LA	consumer	2014	Q3	7	5655	7445	8205	7445	7454	8275	6736
UP700LA	UP	700	LA	consumer	2014	Q3	8	5250	12451	8906	7092	11702	10221	10470
UP700LA	UP	700	LA	consumer	2014	Q3	9	13482	13812	19656	19356	19356	21394	18694
UP700LA	UP	700	LA	consumer	2014	Q4	10	17904	23264	23264	23284	25128	25408	19354
UP700LA	UP	700	LA	consumer	2014	Q4	11	25179	26156	26156	26371	28198	23945	23388
UP700LN	UP	700	LN	consumer	2014	Q2	6	3198	10394	10394	10512	12142	11812	15212
UP700LN	UP	700	LN	consumer	2014	Q3	7	12822	17259	17289	18658	19112	23128	18379
UP700LN	UP	700	LN	consumer	2014	Q3	8	8052	15026	15026	17209	30741	29028	28331
UP700LN	UP	700	LN	consumer	2014	Q3	9	7182	6494	13546	13546	13562	16261	14473
UP700LN	UP	700	LN	consumer	2014	Q4	10	10725	18213	18213	18545	18720	18538	9426
UP700LN	UP	700	LN	consumer	2014	Q4	11	13201	15815	15815	16369	17498	10787	10977
Y951MA	Y	951	MA	consumer	2014	Q2	5	648	648	9158	9158	7727	8144	8144
Y951MA	Y	951	MA	consumer	2014	Q2	6	13397	23489	23009	23460	24028	16322	15745
Y951MA	Y	951	MA	consumer	2014	Q3	7	32518	36216	36216	36195	36479	37097	27876
Y951MA	Y	951	MA	consumer	2014	Q3	8	23304	29186	26558	26712	30693	27536	27809
Y951MA	Y	951	MA	consumer	2014	Q3	9	27455	28411	36604	36108	35436	46161	46095
Y951MA	Y	951	MA	consumer	2014	Q4	10	25435	29057	29273	30828	32712	31756	20695
Y951MA	Y	951	MA	consumer	2014	Q4	11	18187	21861	21861	22068	23264	21999	22219
Y951MD	Y	951	MD	consumer	2014	Q2	6	15101	17327	19089	20468	14281	14437	15594
Y951MD	Y	951	MD	consumer	2014	Q3	7	3905	4460	4460	36195	36479	5367	6848
Y951MD	Y	951	MD	consumer	2014	Q3	8	1149	6900	6792	7710	11976	11367	11851
Y951MD	Y	951	MD	consumer	2014	Q3	9	16724	17249	20618	20618	19957	25496	24397
Y951MD	Y	951	MD	consumer	2014	Q4	10	8308	10936	10936	13066	14299	13774	10405
Y951MD	Y	951	MD	consumer	2014	Q4	11	4753	7612	7612	7642	7670	4768	5073
Y655LA	Y	655	LA	consumer	2014	Q3	7	0	540	972	324	702	702	594
Y655LA	Y	655	LA	consumer	2014	Q3	8	342	3457	3528	4868	6056	2996	4146
Y655LA	Y	655	LA	consumer	2014	Q3	9	7632	9126	14670	14671	14563	19357	15507
Y655LA	Y	655	LA	consumer	2014	Q4	10	11304	38106	38106	39602	42302	40814	35036
Y655LA	Y	655	LA	consumer	2014	Q4	11	37934	54548	54548	53940	57121	29752	33440
Y655LD	Y	655	LD	consumer	2014	Q3	7	2160	21096	19944	23414	27806	44822	44706
Y655LD	Y	655	LD	consumer	2014	Q3	8	71604	83196	83196	83718	87034	65015	78716
Y655LD	Y	655	LD	consumer	2014	Q3	9	87876	85068	88290	88290	88074	108558	91602
Y655LD	Y	655	LD	consumer	2014	Q4	10	84672	98751	98571	103258	127717	132225	125944
Y655LD	Y	655	LD	consumer	2014	Q4	11	109623	125427	125427	125259	134726	125260	117053
H951JM	H	951	JM	consumer	2014	Q3	7	0	2280	2283	2470	1700	2500	3500
H951JM	H	951	JM	consumer	2014	Q3	8	196	5651	5651	5661	5661	3081	5081
H951JM	H	951	JM	consumer	2014	Q3	9	5779	5779	15489	15839	15839	16898	11827
H951JM	H	951	JM	consumer	2014	Q4	10	8807	13217	13967	14260	15589	15589	5236
H951JM	H	951	JM	consumer	2014	Q4	11	6602	8021	8021	10075	9831	8999	5743
Y951LN	Y	951	LN	consumer	2014	Q3	7	0	36216	513	522	522	468	7868
Y951LN	Y	951	LN	consumer	2014	Q3	8	7203	11463	11463	11463	11484	27536	9451
Y951LN	Y	951	LN	consumer	2014	Q3	9	15527	15365	17824	17824	17312	30470	24842
Y951LN	Y	951	LN	consumer	2014	Q4	10	15671	18110	18110	23245	23970	24132	23671
Y951LN	Y	951	LN	consumer	2014	Q4	11	12999	17943	17727	18375	18591	20957	22730
CU401LA	CU	401	LA	commercial	2014	Q3	7	0	140	105	500	500	500	500
CU401LA	CU	401	LA	commercial	2014	Q3	8	0	350	350	350	350	327	
CU401LA	CU	401	LA	commercial	2014	Q3	9	0	0	934	720	719	1400	845
CU401LA	CU	401	LA	commercial	2014	Q4	10	695	2377	2307	2655	1229	2471	2091
CU401LA	CU	401	LA	commercial	2014	Q4	11	1103	2441	2476	3300	3293	1707	1556
